"filename", "language", "Ignore", "Svelte", "json", "comment", "blank", "total"
"/mnt/c/Users/r3dux/Repositories/project-nexum/.prettierignore", "Ignore", 11, 0, 0, 1, 2, 14
"/mnt/c/Users/r3dux/Repositories/project-nexum/.prettierrc", "json", 0, 0, 9, 0, 1, 10
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Badge.svelte", "Svelte", 0, 17, 0, 0, 3, 20
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/ChatGPT.svelte", "Svelte", 0, 98, 0, 0, 9, 107
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Footer.svelte", "Svelte", 0, 51, 0, 0, 1, 52
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Hero.svelte", "Svelte", 0, 25, 0, 0, 3, 28
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Input.svelte", "Svelte", 0, 36, 0, 0, 3, 39
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Modal.svelte", "Svelte", 0, 21, 0, 0, 3, 24
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/MyPageItem.svelte", "Svelte", 0, 87, 0, 0, 12, 99
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/PageCard.svelte", "Svelte", 0, 75, 0, 0, 8, 83
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/PersonCard.svelte", "Svelte", 0, 35, 0, 0, 2, 37
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Shortcuts.svelte", "Svelte", 0, 27, 0, 0, 6, 33
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/Stats.svelte", "Svelte", 0, 39, 0, 0, 5, 44
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/TextArea.svelte", "Svelte", 0, 34, 0, 0, 5, 39
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/ToolTipButton.svelte", "Svelte", 0, 13, 0, 0, 2, 15
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/lib/components/WYSIWYG.svelte", "Svelte", 0, 70, 0, 0, 7, 77
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/+layout.svelte", "Svelte", 0, 194, 0, 0, 10, 204
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/+page.svelte", "Svelte", 0, 159, 0, 0, 16, 175
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/about/+page.svelte", "Svelte", 0, 97, 0, 0, 7, 104
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/ai/+page.svelte", "Svelte", 0, 6, 0, 0, 2, 8
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/login/+page.svelte", "Svelte", 0, 89, 0, 0, 4, 93
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/dashboard/+page.svelte", "Svelte", 0, 117, 0, 0, 9, 126
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/pages/+page.svelte", "Svelte", 0, 19, 0, 0, 2, 21
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/+layout.svelte", "Svelte", 0, 37, 0, 0, 2, 39
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/account/+page.svelte", "Svelte", 0, 99, 0, 0, 6, 105
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/profile/+page.svelte", "Svelte", 0, 106, 0, 0, 8, 114
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/my/settings/security/+page.svelte", "Svelte", 0, 39, 0, 0, 2, 41
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/+page.svelte", "Svelte", 0, 289, 0, 0, 31, 320
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/pages/[pageId]/edit/+page.svelte", "Svelte", 0, 143, 0, 0, 11, 154
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/pages/new/+page.svelte", "Svelte", 0, 76, 0, 0, 8, 84
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/people/+page.svelte", "Svelte", 0, 43, 0, 0, 5, 48
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/people/[profileId]/+page.svelte", "Svelte", 0, 143, 0, 0, 14, 157
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/register/+page.svelte", "Svelte", 0, 40, 0, 0, 5, 45
"/mnt/c/Users/r3dux/Repositories/project-nexum/src/routes/reset-password/+page.svelte", "Svelte", 0, 43, 0, 0, 2, 45
"Total", "-", 11, 2367, 9, 1, 216, 2604
