Date : 2023-08-01 23:33:29
Directory : /mnt/c/Users/r3dux/Repositories/project-nexum
Total : 110 files,  -2761 codes, -196 comments, -486 blanks, all -3443 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Svelte     |         69 |        272 |       -133 |         12 |        151 |
| json       |          1 |          9 |          0 |          1 |         10 |
| Ignore     |          2 |          0 |          0 |          0 |          0 |
| HTML       |          1 |        -16 |        -24 |         -1 |        -41 |
| Markdown   |          1 |        -34 |          0 |        -16 |        -50 |
| JSON       |          2 |        -55 |          0 |         -2 |        -57 |
| CSS        |          1 |        -75 |        -15 |        -18 |       -108 |
| JavaScript |         32 |     -1,060 |        -24 |       -186 |     -1,270 |
| YAML       |          1 |     -1,802 |          0 |       -276 |     -2,078 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        110 |     -2,761 |       -196 |       -486 |     -3,443 |
| . (Files)                                                                                  |          2 |         20 |          1 |          3 |         24 |
| ..                                                                                         |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../..                                                                                      |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData                                                                              |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local                                                                        |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs                                                               |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code                                             |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:                                          |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users                                    |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux                              |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories                 |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum   |         73 |     -5,769 |       -197 |       -779 |     -6,745 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum (Files) |         11 |     -1,996 |         -9 |       -313 |     -2,318 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum/src |         61 |     -3,768 |       -188 |       -464 |     -4,420 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum/src (Files) |          3 |       -119 |        -40 |        -26 |       -185 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum/src/lib |         20 |       -913 |        -47 |       -111 |     -1,071 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum/src/lib (Files) |          3 |       -204 |         -1 |        -29 |       -234 |
| ../../AppData/Local/Programs/Microsoft VS Code/c:/Users/r3dux/Repositories/project-nexum/src/lib/components |         17 |       -709 |        -46 |        -82 |       -837 |
